상품명,날짜,판매량,재고량
프리미엄 점퍼,2025-05-24,6,93
프리미엄 점퍼,2025-05-23,8,85
프리미엄 점퍼,2025-05-22,5,80
프리미엄 점퍼,2025-05-21,2,78
프리미엄 점퍼,2025-05-20,9,69
프리미엄 점퍼,2025-05-19,0,69
프리미엄 점퍼,2025-05-18,5,64
프리미엄 점퍼,2025-05-17,4,60
프리미엄 점퍼,2025-05-16,1,59
프리미엄 점퍼,2025-05-15,4,55
프리미엄 점퍼,2025-05-14,4,51
프리미엄 점퍼,2025-05-13,2,49
프리미엄 점퍼,2025-05-12,1,48
프리미엄 점퍼,2025-05-11,8,40
프리미엄 점퍼,2025-05-10,9,31
프리미엄 점퍼,2025-05-09,5,26
프리미엄 점퍼,2025-05-08,9,17
프리미엄 점퍼,2025-05-07,8,9
프리미엄 점퍼,2025-05-06,4,5
프리미엄 점퍼,2025-05-05,3,2
프리미엄 점퍼,2025-05-04,6,0
빈티지 자켓,2025-06-02,6,109
빈티지 자켓,2025-06-01,7,102
빈티지 자켓,2025-05-31,8,94
빈티지 자켓,2025-05-30,1,93
빈티지 자켓,2025-05-29,8,85
빈티지 자켓,2025-05-28,8,77
빈티지 자켓,2025-05-27,9,68
빈티지 자켓,2025-05-26,2,66
빈티지 자켓,2025-05-25,5,61
빈티지 자켓,2025-05-24,6,55
빈티지 자켓,2025-05-23,7,48
빈티지 자켓,2025-05-22,7,41
빈티지 자켓,2025-05-21,9,32
빈티지 자켓,2025-05-20,8,24
빈티지 자켓,2025-05-19,6,18
빈티지 자켓,2025-05-18,4,14
빈티지 자켓,2025-05-17,2,12
빈티지 자켓,2025-05-16,4,8
빈티지 자켓,2025-05-15,1,7
빈티지 자켓,2025-05-14,1,6
빈티지 자켓,2025-05-13,9,0
빈티지 자켓,2025-05-12,4,0
빈티지 자켓,2025-05-11,7,0
빈티지 자켓,2025-05-10,5,0
빈티지 자켓,2025-05-09,3,0
빈티지 자켓,2025-05-08,0,0
빈티지 자켓,2025-05-07,8,0
빈티지 자켓,2025-05-06,9,0
빈티지 자켓,2025-05-05,8,0
빈티지 자켓,2025-05-04,5,0
베이직 패딩,2025-06-02,7,182
베이직 패딩,2025-06-01,6,176
베이직 패딩,2025-05-31,8,168
베이직 패딩,2025-05-30,2,166
베이직 패딩,2025-05-29,2,164
베이직 패딩,2025-05-28,6,158
베이직 패딩,2025-05-27,9,149
베이직 패딩,2025-05-26,8,141
베이직 패딩,2025-05-25,1,140
베이직 패딩,2025-05-24,7,133
베이직 패딩,2025-05-23,1,132
베이직 패딩,2025-05-22,8,124
베이직 패딩,2025-05-21,0,124
베이직 패딩,2025-05-20,1,123
베이직 패딩,2025-05-19,8,115
베이직 패딩,2025-05-18,6,109
베이직 패딩,2025-05-17,3,106
베이직 패딩,2025-05-16,3,103
베이직 패딩,2025-05-15,6,97
베이직 패딩,2025-05-14,0,97
베이직 패딩,2025-05-13,8,89
베이직 패딩,2025-05-12,8,81
베이직 패딩,2025-05-11,9,72
베이직 패딩,2025-05-10,5,67
베이직 패딩,2025-05-09,3,64
베이직 패딩,2025-05-08,8,56
베이직 패딩,2025-05-07,3,53
베이직 패딩,2025-05-06,8,45
베이직 패딩,2025-05-05,0,45
베이직 패딩,2025-05-04,2,43
프리미엄 숏팬츠,2025-06-02,1,125
프리미엄 숏팬츠,2025-06-01,5,120
프리미엄 숏팬츠,2025-05-31,6,114
프리미엄 숏팬츠,2025-05-30,7,107
프리미엄 숏팬츠,2025-05-29,5,102
프리미엄 숏팬츠,2025-05-28,8,94
프리미엄 숏팬츠,2025-05-27,3,91
프리미엄 숏팬츠,2025-05-26,3,88
프리미엄 숏팬츠,2025-05-25,3,85
프리미엄 숏팬츠,2025-05-24,5,80
프리미엄 숏팬츠,2025-05-23,3,77
프리미엄 숏팬츠,2025-05-22,1,76
프리미엄 숏팬츠,2025-05-21,0,76
프리미엄 숏팬츠,2025-05-20,1,75
프리미엄 숏팬츠,2025-05-19,9,66
프리미엄 숏팬츠,2025-05-18,2,64
프리미엄 숏팬츠,2025-05-17,3,61
프리미엄 숏팬츠,2025-05-16,3,58
프리미엄 숏팬츠,2025-05-15,2,56
프리미엄 숏팬츠,2025-05-14,4,52
프리미엄 숏팬츠,2025-05-13,2,50
프리미엄 숏팬츠,2025-05-12,4,46
프리미엄 숏팬츠,2025-05-11,5,41
프리미엄 숏팬츠,2025-05-10,8,33
프리미엄 숏팬츠,2025-05-09,4,29
프리미엄 숏팬츠,2025-05-08,0,29
프리미엄 숏팬츠,2025-05-07,2,27
프리미엄 숏팬츠,2025-05-06,6,21
프리미엄 숏팬츠,2025-05-05,8,13
프리미엄 숏팬츠,2025-05-04,8,5
오버핏 스커트,2025-06-02,2,147
오버핏 스커트,2025-06-01,7,140
오버핏 스커트,2025-05-31,1,139
오버핏 스커트,2025-05-30,4,135
오버핏 스커트,2025-05-29,5,130
오버핏 스커트,2025-05-28,4,126
오버핏 스커트,2025-05-27,8,118
오버핏 스커트,2025-05-26,4,114
오버핏 스커트,2025-05-25,3,111
오버핏 스커트,2025-05-24,0,111
오버핏 스커트,2025-05-23,0,111
오버핏 스커트,2025-05-22,2,109
오버핏 스커트,2025-05-21,0,109
오버핏 스커트,2025-05-20,8,101
오버핏 스커트,2025-05-19,0,101
오버핏 스커트,2025-05-18,6,95
오버핏 스커트,2025-05-17,9,86
오버핏 스커트,2025-05-16,1,85
오버핏 스커트,2025-05-15,2,83
오버핏 스커트,2025-05-14,3,80
오버핏 스커트,2025-05-13,1,79
오버핏 스커트,2025-05-12,4,75
오버핏 스커트,2025-05-11,7,68
오버핏 스커트,2025-05-10,8,60
오버핏 스커트,2025-05-09,6,54
오버핏 스커트,2025-05-08,6,48
오버핏 스커트,2025-05-07,3,45
오버핏 스커트,2025-05-06,4,41
오버핏 스커트,2025-05-05,8,33
오버핏 스커트,2025-05-04,4,29
슬림핏 블레이저,2025-06-02,5,170
슬림핏 블레이저,2025-06-01,6,164
슬림핏 블레이저,2025-05-31,3,161
슬림핏 블레이저,2025-05-30,7,154
슬림핏 블레이저,2025-05-29,1,153
슬림핏 블레이저,2025-05-28,4,149
슬림핏 블레이저,2025-05-27,2,147
슬림핏 블레이저,2025-05-26,3,144
슬림핏 블레이저,2025-05-25,0,144
슬림핏 블레이저,2025-05-24,6,138
슬림핏 블레이저,2025-05-23,2,136
슬림핏 블레이저,2025-05-22,9,127
슬림핏 블레이저,2025-05-21,8,119
슬림핏 블레이저,2025-05-20,4,115
슬림핏 블레이저,2025-05-19,8,107
슬림핏 블레이저,2025-05-18,3,104
슬림핏 블레이저,2025-05-17,9,95
슬림핏 블레이저,2025-05-16,6,89
슬림핏 블레이저,2025-05-15,7,82
슬림핏 블레이저,2025-05-14,6,76
슬림핏 블레이저,2025-05-13,1,75
슬림핏 블레이저,2025-05-12,7,68
슬림핏 블레이저,2025-05-11,5,63
슬림핏 블레이저,2025-05-10,4,59
슬림핏 블레이저,2025-05-09,2,57
슬림핏 블레이저,2025-05-08,4,53
슬림핏 블레이저,2025-05-07,7,46
슬림핏 블레이저,2025-05-06,4,42
슬림핏 블레이저,2025-05-05,5,37
슬림핏 블레이저,2025-05-04,8,29
오버핏 미니 원피스,2025-06-02,4,102
오버핏 미니 원피스,2025-06-01,7,95
오버핏 미니 원피스,2025-05-31,0,95
오버핏 미니 원피스,2025-05-30,5,90
오버핏 미니 원피스,2025-05-29,7,83
오버핏 미니 원피스,2025-05-28,4,79
오버핏 미니 원피스,2025-05-27,3,76
오버핏 미니 원피스,2025-05-26,7,69
오버핏 미니 원피스,2025-05-25,5,64
오버핏 미니 원피스,2025-05-24,5,59
오버핏 미니 원피스,2025-05-23,9,50
오버핏 미니 원피스,2025-05-22,9,41
오버핏 미니 원피스,2025-05-21,7,34
오버핏 미니 원피스,2025-05-20,3,31
오버핏 미니 원피스,2025-05-19,4,27
오버핏 미니 원피스,2025-05-18,8,19
오버핏 미니 원피스,2025-05-17,0,19
오버핏 미니 원피스,2025-05-16,9,10
오버핏 미니 원피스,2025-05-15,7,3
오버핏 미니 원피스,2025-05-14,7,0
오버핏 미니 원피스,2025-05-13,4,0
오버핏 미니 원피스,2025-05-12,0,0
오버핏 미니 원피스,2025-05-11,6,0
오버핏 미니 원피스,2025-05-10,7,0
오버핏 미니 원피스,2025-05-09,4,0
오버핏 미니 원피스,2025-05-08,4,0
오버핏 미니 원피스,2025-05-07,6,0
오버핏 미니 원피스,2025-05-06,6,0
오버핏 미니 원피스,2025-05-05,1,0
오버핏 미니 원피스,2025-05-04,7,0
슬림핏 맨투맨,2025-06-02,7,61
슬림핏 맨투맨,2025-06-01,2,59
슬림핏 맨투맨,2025-05-31,8,51
슬림핏 맨투맨,2025-05-30,4,47
슬림핏 맨투맨,2025-05-29,3,44
슬림핏 맨투맨,2025-05-28,6,38
슬림핏 맨투맨,2025-05-27,4,34
슬림핏 맨투맨,2025-05-26,7,27
슬림핏 맨투맨,2025-05-25,1,26
슬림핏 맨투맨,2025-05-24,2,24
슬림핏 맨투맨,2025-05-23,2,22
슬림핏 맨투맨,2025-05-22,2,20
슬림핏 맨투맨,2025-05-21,7,13
슬림핏 맨투맨,2025-05-20,9,4
슬림핏 맨투맨,2025-05-19,3,1
슬림핏 맨투맨,2025-05-18,5,0
슬림핏 맨투맨,2025-05-17,9,0
슬림핏 맨투맨,2025-05-16,7,0
슬림핏 맨투맨,2025-05-15,6,0
슬림핏 맨투맨,2025-05-14,6,0
슬림핏 맨투맨,2025-05-13,4,0
슬림핏 맨투맨,2025-05-12,4,0
슬림핏 맨투맨,2025-05-11,3,0
슬림핏 맨투맨,2025-05-10,3,0
슬림핏 맨투맨,2025-05-09,4,0
슬림핏 맨투맨,2025-05-08,5,0
슬림핏 맨투맨,2025-05-07,3,0
슬림핏 맨투맨,2025-05-06,0,0
슬림핏 맨투맨,2025-05-05,9,0
슬림핏 맨투맨,2025-05-04,2,0
프리미엄 면바지,2025-06-02,5,91
프리미엄 면바지,2025-06-01,5,86
프리미엄 면바지,2025-05-31,4,82
프리미엄 면바지,2025-05-30,9,73
프리미엄 면바지,2025-05-29,6,67
프리미엄 면바지,2025-05-28,6,61
프리미엄 면바지,2025-05-27,3,58
프리미엄 면바지,2025-05-26,0,58
프리미엄 면바지,2025-05-25,5,53
프리미엄 면바지,2025-05-24,1,52
프리미엄 면바지,2025-05-23,1,51
프리미엄 면바지,2025-05-22,9,42
프리미엄 면바지,2025-05-21,1,41
프리미엄 면바지,2025-05-20,0,41
프리미엄 면바지,2025-05-19,8,33
프리미엄 면바지,2025-05-18,1,32
프리미엄 면바지,2025-05-17,6,26
프리미엄 면바지,2025-05-16,8,18
프리미엄 면바지,2025-05-15,2,16
프리미엄 면바지,2025-05-14,3,13
프리미엄 면바지,2025-05-13,3,10
프리미엄 면바지,2025-05-12,6,4
프리미엄 면바지,2025-05-11,0,4
프리미엄 면바지,2025-05-10,7,0
프리미엄 면바지,2025-05-09,5,0
프리미엄 면바지,2025-05-08,7,0
프리미엄 면바지,2025-05-07,0,0
프리미엄 면바지,2025-05-06,6,0
프리미엄 면바지,2025-05-05,5,0
프리미엄 면바지,2025-05-04,2,0
빈티지 와이드팬츠,2025-06-02,9,100
빈티지 와이드팬츠,2025-06-01,1,99
빈티지 와이드팬츠,2025-05-31,4,95
빈티지 와이드팬츠,2025-05-30,9,86
빈티지 와이드팬츠,2025-05-29,1,85
빈티지 와이드팬츠,2025-05-28,4,81
빈티지 와이드팬츠,2025-05-27,0,81
빈티지 와이드팬츠,2025-05-26,2,79
빈티지 와이드팬츠,2025-05-25,7,72
빈티지 와이드팬츠,2025-05-24,9,63
빈티지 와이드팬츠,2025-05-23,4,59
빈티지 와이드팬츠,2025-05-22,3,56
빈티지 와이드팬츠,2025-05-21,0,56
빈티지 와이드팬츠,2025-05-20,0,56
빈티지 와이드팬츠,2025-05-19,7,49
빈티지 와이드팬츠,2025-05-18,6,43
빈티지 와이드팬츠,2025-05-17,6,37
빈티지 와이드팬츠,2025-05-16,6,31
빈티지 와이드팬츠,2025-05-15,1,30
빈티지 와이드팬츠,2025-05-14,9,21
빈티지 와이드팬츠,2025-05-13,6,15
빈티지 와이드팬츠,2025-05-12,8,7
빈티지 와이드팬츠,2025-05-11,3,4
빈티지 와이드팬츠,2025-05-10,0,4
빈티지 와이드팬츠,2025-05-09,1,3
빈티지 와이드팬츠,2025-05-08,0,3
빈티지 와이드팬츠,2025-05-07,4,0
빈티지 와이드팬츠,2025-05-06,3,0
빈티지 와이드팬츠,2025-05-05,1,0
빈티지 와이드팬츠,2025-05-04,7,0
오버핏 후드,2025-06-02,8,102
오버핏 후드,2025-06-01,8,94
오버핏 후드,2025-05-31,2,92
오버핏 후드,2025-05-30,3,89
오버핏 후드,2025-05-29,9,80
오버핏 후드,2025-05-28,2,78
오버핏 후드,2025-05-27,2,76
오버핏 후드,2025-05-26,7,69
오버핏 후드,2025-05-25,6,63
오버핏 후드,2025-05-24,3,60
오버핏 후드,2025-05-23,4,56
오버핏 후드,2025-05-22,3,53
오버핏 후드,2025-05-21,6,47
오버핏 후드,2025-05-20,2,45
오버핏 후드,2025-05-19,0,45
오버핏 후드,2025-05-18,2,43
오버핏 후드,2025-05-17,1,42
오버핏 후드,2025-05-16,0,42
오버핏 후드,2025-05-15,1,41
오버핏 후드,2025-05-14,8,33
오버핏 후드,2025-05-13,0,33
오버핏 후드,2025-05-12,7,26
오버핏 후드,2025-05-11,4,22
오버핏 후드,2025-05-10,5,17
오버핏 후드,2025-05-09,4,13
오버핏 후드,2025-05-08,9,4
오버핏 후드,2025-05-07,7,0
오버핏 후드,2025-05-06,4,0
오버핏 후드,2025-05-05,5,0
오버핏 후드,2025-05-04,7,0
오버핏 패딩,2025-06-02,9,144
오버핏 패딩,2025-06-01,8,136
오버핏 패딩,2025-05-31,6,130
오버핏 패딩,2025-05-30,1,129
오버핏 패딩,2025-05-29,8,121
오버핏 패딩,2025-05-28,0,121
오버핏 패딩,2025-05-27,8,113
오버핏 패딩,2025-05-26,9,104
오버핏 패딩,2025-05-25,8,96
오버핏 패딩,2025-05-24,3,93
오버핏 패딩,2025-05-23,9,84
오버핏 패딩,2025-05-22,4,80
오버핏 패딩,2025-05-21,3,77
오버핏 패딩,2025-05-20,8,69
오버핏 패딩,2025-05-19,5,64
오버핏 패딩,2025-05-18,5,59
오버핏 패딩,2025-05-17,6,53
오버핏 패딩,2025-05-16,4,49
오버핏 패딩,2025-05-15,7,42
오버핏 패딩,2025-05-14,1,41
오버핏 패딩,2025-05-13,0,41
오버핏 패딩,2025-05-12,1,40
오버핏 패딩,2025-05-11,1,39
오버핏 패딩,2025-05-10,6,33
오버핏 패딩,2025-05-09,7,26
오버핏 패딩,2025-05-08,9,17
오버핏 패딩,2025-05-07,1,16
오버핏 패딩,2025-05-06,2,14
오버핏 패딩,2025-05-05,1,13
오버핏 패딩,2025-05-04,0,13
빈티지 숏팬츠,2025-06-02,6,65
빈티지 숏팬츠,2025-06-01,2,63
빈티지 숏팬츠,2025-05-31,7,56
빈티지 숏팬츠,2025-05-30,3,53
빈티지 숏팬츠,2025-05-29,3,50
빈티지 숏팬츠,2025-05-28,3,47
빈티지 숏팬츠,2025-05-27,1,46
빈티지 숏팬츠,2025-05-26,3,43
빈티지 숏팬츠,2025-05-25,0,43
빈티지 숏팬츠,2025-05-24,5,38
빈티지 숏팬츠,2025-05-23,7,31
빈티지 숏팬츠,2025-05-22,6,25
빈티지 숏팬츠,2025-05-21,6,19
빈티지 숏팬츠,2025-05-20,2,17
빈티지 숏팬츠,2025-05-19,8,9
빈티지 숏팬츠,2025-05-18,3,6
빈티지 숏팬츠,2025-05-17,7,0
빈티지 숏팬츠,2025-05-16,3,0
빈티지 숏팬츠,2025-05-15,5,0
빈티지 숏팬츠,2025-05-14,6,0
빈티지 숏팬츠,2025-05-13,0,0
빈티지 숏팬츠,2025-05-12,2,0
빈티지 숏팬츠,2025-05-11,6,0
빈티지 숏팬츠,2025-05-10,3,0
빈티지 숏팬츠,2025-05-09,4,0
빈티지 숏팬츠,2025-05-08,9,0
빈티지 숏팬츠,2025-05-07,2,0
빈티지 숏팬츠,2025-05-06,4,0
빈티지 숏팬츠,2025-05-05,6,0
빈티지 숏팬츠,2025-05-04,9,0
클래식 청바지,2025-06-02,8,159
클래식 청바지,2025-06-01,7,152
클래식 청바지,2025-05-31,8,144
클래식 청바지,2025-05-30,1,143
클래식 청바지,2025-05-29,4,139
클래식 청바지,2025-05-28,5,134
클래식 청바지,2025-05-27,6,128
클래식 청바지,2025-05-26,3,125
클래식 청바지,2025-05-25,1,124
클래식 청바지,2025-05-24,6,118
클래식 청바지,2025-05-23,0,118
클래식 청바지,2025-05-22,6,112
클래식 청바지,2025-05-21,1,111
클래식 청바지,2025-05-20,2,109
클래식 청바지,2025-05-19,3,106
클래식 청바지,2025-05-18,9,97
클래식 청바지,2025-05-17,9,88
클래식 청바지,2025-05-16,2,86
클래식 청바지,2025-05-15,4,82
클래식 청바지,2025-05-14,6,76
클래식 청바지,2025-05-13,7,69
클래식 청바지,2025-05-12,6,63
클래식 청바지,2025-05-11,6,57
클래식 청바지,2025-05-10,1,56
클래식 청바지,2025-05-09,4,52
클래식 청바지,2025-05-08,6,46
클래식 청바지,2025-05-07,1,45
클래식 청바지,2025-05-06,2,43
클래식 청바지,2025-05-05,7,36
클래식 청바지,2025-05-04,1,35
프리미엄 미디 원피스,2025-06-02,3,162
프리미엄 미디 원피스,2025-06-01,3,159
프리미엄 미디 원피스,2025-05-31,3,156
프리미엄 미디 원피스,2025-05-30,0,156
프리미엄 미디 원피스,2025-05-29,8,148
프리미엄 미디 원피스,2025-05-28,8,140
프리미엄 미디 원피스,2025-05-27,8,132
프리미엄 미디 원피스,2025-05-26,8,124
프리미엄 미디 원피스,2025-05-25,1,123
프리미엄 미디 원피스,2025-05-24,0,123
프리미엄 미디 원피스,2025-05-23,1,122
프리미엄 미디 원피스,2025-05-22,2,120
프리미엄 미디 원피스,2025-05-21,3,117
프리미엄 미디 원피스,2025-05-20,8,109
프리미엄 미디 원피스,2025-05-19,1,108
프리미엄 미디 원피스,2025-05-18,5,103
프리미엄 미디 원피스,2025-05-17,7,96
프리미엄 미디 원피스,2025-05-16,6,90
프리미엄 미디 원피스,2025-05-15,7,83
프리미엄 미디 원피스,2025-05-14,7,76
프리미엄 미디 원피스,2025-05-13,3,73
프리미엄 미디 원피스,2025-05-12,6,67
프리미엄 미디 원피스,2025-05-11,5,62
프리미엄 미디 원피스,2025-05-10,1,61
프리미엄 미디 원피스,2025-05-09,7,54
프리미엄 미디 원피스,2025-05-08,3,51
프리미엄 미디 원피스,2025-05-07,6,45
프리미엄 미디 원피스,2025-05-06,1,44
프리미엄 미디 원피스,2025-05-05,9,35
프리미엄 미디 원피스,2025-05-04,1,34
베이직 셔츠 원피스,2025-06-02,7,141
베이직 셔츠 원피스,2025-06-01,6,135
베이직 셔츠 원피스,2025-05-31,2,133
베이직 셔츠 원피스,2025-05-30,5,128
베이직 셔츠 원피스,2025-05-29,9,119
베이직 셔츠 원피스,2025-05-28,9,110
베이직 셔츠 원피스,2025-05-27,3,107
베이직 셔츠 원피스,2025-05-26,7,100
베이직 셔츠 원피스,2025-05-25,3,97
베이직 셔츠 원피스,2025-05-24,3,94
베이직 셔츠 원피스,2025-05-23,0,94
베이직 셔츠 원피스,2025-05-22,9,85
베이직 셔츠 원피스,2025-05-21,0,85
베이직 셔츠 원피스,2025-05-20,7,78
베이직 셔츠 원피스,2025-05-19,3,75
베이직 셔츠 원피스,2025-05-18,0,75
베이직 셔츠 원피스,2025-05-17,9,66
베이직 셔츠 원피스,2025-05-16,9,57
